t_ms,neuron_id,field,value
22,31,Vm_mV,-60.0
22,32,Vm_mV,-60.0
22,33,Vm_mV,-60.0
22,34,Vm_mV,-60.0
23,0,Vm_mV,-60.0
23,1,Vm_mV,-60.0
23,2,Vm_mV,-60.0
23,3,Vm_mV,-60.0
23,4,Vm_mV,-60.0
23,5,Vm_mV,-60.0
23,6,Vm_mV,-60.0
23,7,Vm_mV,-60.0
23,8,Vm_mV,-60.0
23,9,Vm_mV,-60.0
23,10,Vm_mV,-60.0
23,11,Vm_mV,-60.0
23,12,Vm_mV,-60.0
23,13,Vm_mV,-60.0
23,14,Vm_mV,-60.0
23,15,Vm_mV,-60.0
23,16,Vm_mV,-60.0
23,17,Vm_mV,-60.0
23,18,Vm_mV,-60.0
23,19,Vm_mV,-60.0
23,20,Vm_mV,-60.0
23,21,Vm_mV,-60.0
23,22,Vm_mV,-60.0
23,23,Vm_mV,-60.0
23,24,Vm_mV,-60.0
23,25,Vm_mV,-60.0
23,26,Vm_mV,-60.0
23,27,Vm_mV,-60.0
23,28,Vm_mV,-60.0
23,29,Vm_mV,-60.0
23,30,Vm_mV,-60.0
23,31,Vm_mV,-60.0
23,32,Vm_mV,-60.0
23,33,Vm_mV,-60.0
23,34,Vm_mV,-60.0
24,0,Vm_mV,-60.0
24,1,Vm_mV,-60.0
24,2,Vm_mV,-60.0
24,3,Vm_mV,-60.0
24,4,Vm_mV,-60.0
24,5,Vm_mV,-60.0
24,6,Vm_mV,-60.0
24,7,Vm_mV,-60.0
24,8,Vm_mV,-60.0
24,9,Vm_mV,-60.0
24,10,Vm_mV,-60.0
24,11,Vm_mV,-60.0
24,12,Vm_mV,-60.0
24,13,Vm_mV,-60.0
24,14,Vm_mV,-60.0
24,15,Vm_mV,-60.0
24,16,Vm_mV,-60.0
24,17,Vm_mV,-60.0
24,18,Vm_mV,-60.0
24,19,Vm_mV,-60.0
24,20,Vm_mV,-60.0
24,21,Vm_mV,-60.0
24,22,Vm_mV,-60.0
24,23,Vm_mV,-60.0
24,24,Vm_mV,-60.0
24,25,Vm_mV,-60.0
24,26,Vm_mV,-60.0
24,27,Vm_mV,-60.0
24,28,Vm_mV,-60.0
